"bulan","stasiun_pengisian_bahanbakar","jenis_bahanbakar","jumlah_penjualan","penerimaan_pajak","periode_data"
"8","Pertamina","Pertalite","33509222","10052766600","2016"
"8","Pertamina","Pertamax","52850550","16888563417","2016"
"8","Pertamina","Pertamax Plus","2413000","865532573","2016"
"8","Pertamina","Pertamina Dex","2468000","873780207","2016"
"8","Pertamina","Dexlite","1094000","306795657","2016"
"8","Pertamina","Pertamax Racing","16000","25739130","2016"
"8","Pertamina","BBG","50246","429014716","2016"
"8","Pertamina","Pertamax Turbo","1508000","570417398","2016"
"8","Total","Performance 92","1354611","441755444","2016"
"8","Total","Performance 95","224000","97773496","2016"
"8","Total","Diesel","103346","36858014","2016"
"8","Shell","Diesel","2363265","828596475","2016"
"8","Shell","Super","19674332","6476185992","2016"
"8","Shell","Vpower","7892583","2955138712","2016"
"9","Pertamina","Bio Solar","50043698","11205843911","2016"
"9","Pertamina","Solar","21187430","6636557381","2016"
"9","Pertamina","Premium","93261395","26570465947","2016"
"9","Pertamina","Pertalite","42036000","12610800000","2016"
"9","Pertamina","Pertamax","51985545","16612184626","2016"
"9","Pertamina","Pertamax Plus","0","0","2016"
"9","Pertamina","Pertamina Dex","2826160","1004209153","2016"
"9","Pertamina","Dexlite","1092000","315730477","2016"
"9","Pertamina","Pertamax Racing","0","0","2016"
"9","Pertamina","BBG","40683","452751454","2016"
"9","Pertamina","Pertamax Turbo","5316000","2010834799","2016"
"9","Total","Performance 92","0","0","2016"
"9","Total","Performance 95","264000","0","2016"
"9","Total","Diesel","0","0","2016"
"9","Shell","Diesel","0","0","2016"
"9","Shell","Super","0","0","2016"
"9","Shell","Vpower","0","0","2016"
"10","Pertamina","Bio Solar","0","0","2016"
"10","Pertamina","Solar","0","0","2016"
"10","Pertamina","Premium","0","0","2016"
"10","Pertamina","Pertalite","0","0","2016"
"10","Pertamina","Pertamax","0","0","2016"
"10","Pertamina","Pertamax Plus","0","0","2016"
"10","Pertamina","Pertamina Dex","0","0","2016"
"10","Pertamina","Dexlite","0","0","2016"
"10","Pertamina","Pertamax Racing","0","0","2016"
"10","Pertamina","BBG","0","0","2016"
"10","Pertamina","Pertamax Turbo","0","0","2016"
"10","Total","Performance 92","0","0","2016"
"10","Total","Performance 95","0","0","2016"
"10","Total","Diesel","0","0","2016"
"10","Shell","Diesel","0","0","2016"
"10","Shell","Super","0","0","2016"
"10","Shell","Vpower","0","0","2016"
"11","Pertamina","Bio Solar","0","0","2016"
"11","Pertamina","Solar","0","0","2016"
"11","Pertamina","Premium","0","0","2016"
"11","Pertamina","Pertalite","0","0","2016"
"11","Pertamina","Pertamax","0","0","2016"
"11","Pertamina","Pertamax Plus","0","0","2016"
"11","Pertamina","Pertamina Dex","0","0","2016"
"11","Pertamina","Dexlite","0","0","2016"
"11","Pertamina","Pertamax Racing","0","0","2016"
"11","Pertamina","BBG","0","0","2016"
"11","Pertamina","Pertamax Turbo","0","0","2016"
"11","Total","Performance 92","0","0","2016"
"11","Total","Performance 95","0","0","2016"
"11","Total","Diesel","0","0","2016"
"11","Shell","Diesel","0","0","2016"
"11","Shell","Super","0","0","2016"
"11","Shell","Vpower","0","0","2016"
"12","Pertamina","Bio Solar","0","0","2016"
"12","Pertamina","Solar","0","0","2016"
"12","Pertamina","Premium","0","0","2016"
"12","Pertamina","Pertalite","0","0","2016"
"12","Pertamina","Pertamax","0","0","2016"
"12","Pertamina","Pertamax Plus","0","0","2016"
"12","Pertamina","Pertamina Dex","0","0","2016"
"12","Pertamina","Dexlite","0","0","2016"
"12","Pertamina","Pertamax Racing","0","0","2016"
"12","Pertamina","BBG","0","0","2016"
"12","Pertamina","Pertamax Turbo","0","0","2016"
"12","Total","Performance 92","0","0","2016"
"12","Total","Performance 95","0","0","2016"
"12","Total","Diesel","0","0","2016"
"12","Shell","Diesel","0","0","2016"
"12","Shell","Super","0","0","2016"
"12","Shell","Vpower","0","0","2016"
"1","Pertamina","Bio Solar","55232675","16813838145","2015"
"1","Pertamina","Solar","13531625","4631822667","2015"
"1","Pertamina","Premium","148118500","46128488066","2015"
"1","Pertamina","Pertalite","0","0","2015"
"1","Pertamina","Pertamax","35750000","13041124794","2015"
"1","Pertamina","Pertamax Plus","2516000","1018416074","2015"
"1","Pertamina","Pertamina Dex","1092000","495904877","2015"
"1","Pertamina","Dexlite","0","0","2015"
"1","Pertamina","Pertamax Racing","0","0","2015"
"1","Pertamina","BBG","89565","477756129","2015"
"1","Total","Performance 92","640000","233525282","2015"
"1","Total","Performance 95","120000","48700405","2015"
"1","Total","Diesel","80000","34174912","2015"
"2","Pertamina","Bio Solar","51144587","14627290854","2015"
"2","Pertamina","Solar","12785970","4008352739","2015"
"2","Pertamina","Premium","134949500","39572876021","2015"
"2","Pertamina","Pertalite","0","0","2015"
"2","Pertamina","Pertamax","31003000","10815453511","2015"
"2","Pertamina","Pertamax Plus","2476000","974183683","2015"
"2","Pertamina","Pertamina Dex","1294000","567757873","2015"
"2","Pertamina","Dexlite","0","0","2015"
"2","Pertamina","Pertamax Racing","0","0","2015"
"2","Pertamina","BBG","59006","442918628","2015"
"2","Total","Performance 92","952000","333766228","2015"
"2","Total","Performance 95","272000","105547283","2015"
"2","Total","Diesel","72000","29997737","2015"
"3","Pertamina","Bio Solar","2891443","810405285","2015"
"3","Pertamina","Solar","67709043","20702279551","2015"
"3","Pertamina","Premium","155615345","47398669009","2015"
"3","Pertamina","Pertalite","0","0","2015"
"3","Pertamina","Pertamax","35220850","12915035453","2015"
